   phi    psi  energy
-180.0 -180.0 33.8427
-180.0 -120.0 40.7783
-180.0  -60.0 28.7919
-180.0    0.0 12.9085
-180.0   60.0 14.7922
-180.0  120.0 32.8471
-120.0 -180.0 54.7559
-120.0 -120.0 61.6939
-120.0  -60.0 44.7676
-120.0    0.0 24.3594
-120.0   60.0 26.3449
-120.0  120.0 54.3941
 -60.0 -180.0 39.7112
 -60.0 -120.0 49.7528
 -60.0  -60.0 20.1205
 -60.0    0.0 14.9525
 -60.0   60.0 28.3182
 -60.0  120.0 42.0081
   0.0 -180.0 24.2128
   0.0 -120.0 21.3147
   0.0  -60.0 12.2138
   0.0    0.0  8.8740
   0.0   60.0  5.7885
   0.0  120.0 18.5599
  60.0 -180.0 16.4468
  60.0 -120.0 17.6342
  60.0  -60.0 13.6243
  60.0    0.0  0.0000
  60.0   60.0  3.8527
  60.0  120.0 17.4265
 120.0 -180.0 27.6258
 120.0 -120.0 34.3744
 120.0  -60.0 17.6795
 120.0    0.0 15.4368
 120.0   60.0 15.8938
 120.0  120.0 35.3768
